08-06-2017 03:22:02 PM - tldextract - INFO - computed TLDs: [chikuho.fukuoka.jp, భారత్, 公司.hk, pvt.ge, matsuzaki.shizuoka.jp, name.eg, tsuruga.fukui.jp, اتصالات, in-addr.arpa, hisayama.fukuoka.jp, ...]
08-06-2017 03:22:02 PM - tldextract - WARNING - unable to cache TLDs in file /usr/local/lib/python2.7/dist-packages/tldextract/.tld_set: [Errno 13] Permission denied: '/usr/local/lib/python2.7/dist-packages/tldextract/.tld_set'
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470747 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470747 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470746 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470746 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/469202 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/469202 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/469201 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/469201 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/129 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470753 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470753 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Societe/Article/2017/05/31/Avis-aux-lyceens-la-Bibliotheque-Departementale-ouvre-ses-portes-pour for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Societe/Article/2017/05/31/Avis-aux-lyceens-la-Bibliotheque-Departementale-ouvre-ses-portes-pour for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Societe/Article/2017/05/30/Concours-No-gaspi-au-college-Auguste-Lacaussade_470754 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Societe/Article/2017/05/30/Concours-No-gaspi-au-college-Auguste-Lacaussade_470754 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Politique/Article/2017/05/25/Commission-Permanente-du-Conseil-Departemental_469809 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Politique/Article/2017/05/25/Commission-Permanente-du-Conseil-Departemental_469809 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Societe/Article/2017/05/25/Des-plantations-de-goyaviers-en-vue_469706 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Societe/Article/2017/05/25/Des-plantations-de-goyaviers-en-vue_469706 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Societe/Article/2017/05/20/Marche-Pei-special-fete-des-meres-au-Jardin-de-lEtat_468378 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /Societe/Article/2017/05/20/Marche-Pei-special-fete-des-meres-au-Jardin-de-lEtat_468378 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /taxonomy/term/114 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472732 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472732 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472298 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/472298 for >1 path chunks or size path chunks
08-06-2017 03:22:05 PM - root - DEBUG - elim category url /node/470757 for >1 path chunks or size path chunks
